"행정구역별(시군구)","성별","연령별","시점",일반가구원,가구주,가구주의 배우자,자녀,자녀의 배우자,가구주의 부모,배우자의 부모,손자녀 그 배우자,친손자녀·그 배우자,외손자녀·그 배우자,증손자녀·그 배우자,조부모,형제자매·그 배우자,형제자매의 자녀·그 배우자,부모의 형제자매·그 배우자,기타 친·인척,기타 동거인
"전국","계","합계","2015",48339559,19111030,10440050,15029782,234046,1281004,244171,-,440087,172851,3325,41864,758543,154183,22103,52911,353609
"전국","계","합계","2016",48551348,19367696,10503992,14928884,231261,1270659,244362,-,413095,174495,3188,40316,739950,151575,22205,51379,408291
"전국","계","합계","2017",48614907,19673875,10534559,14675520,215251,1246177,236820,-,388105,176291,3042,40364,740091,152888,23052,55443,453429
"전국","계","합계","2018",48664922,19979188,10555209,14413659,197312,1245526,227081,-,357879,174071,2756,40744,741466,153814,24326,55129,496762
"전국","계","합계","2019",48674177,20343188,10571041,14071845,182245,1229037,217905,-,332694,172304,2607,40041,736103,152723,24910,57531,540003
"전국","계","합계","2020",49028727,20926710,10605670,13907427,151743,1215796,198013,455244,-,-,2099,41307,721498,149144,25246,55650,573180
"전국","계","합계","2021",49063531,21448463,10571167,13450360,132892,1225210,189137,416354,-,-,1928,44124,720425,151797,27511,57683,626480
"전국","계","합계","2022",48884646,21773507,10528581,12986936,127131,1217670,182281,397684,-,-,1910,43451,717052,152820,28778,58170,668675
"전국","계","합계","2023",48870498,22073158,10453359,12751539,126024,1201970,176980,393038,-,-,1913,39439,717462,151703,29772,57928,696213
"전국","계","합계","2024",48783236,22294419,10430133,12502000,119828,1167849,164395,382507,-,-,1940,35691,711099,148290,29687,57102,738296
"전국","계","15세미만","2015",6888615,87,X,6439977,X,X,X,-,263942,122036,3123,X,5524,46090,X,5898,1935
"전국","계","15세미만","2016",6753076,78,X,6328452,X,X,X,-,240651,121188,2995,X,5130,40568,X,5633,8377
"전국","계","15세미만","2017",6613883,72,X,6209668,X,X,X,-,222156,120919,2850,X,4842,38817,X,6967,7592
"전국","계","15세미만","2018",6465942,81,X,6086016,X,X,X,-,201320,117249,2595,X,4642,36987,X,6803,10249
"전국","계","15세미만","2019",6296648,96,X,5937789,X,X,X,-,184139,114403,2428,X,4674,35549,X,7025,10544
"전국","계","15세미만","2020",6159722,108,X,5844350,X,X,X,260186,-,-,1949,X,4760,32128,X,6215,10026
"전국","계","15세미만","2021",5991713,139,X,5705511,X,12,X,233623,-,-,1784,X,4855,30222,X,5989,9569
"전국","계","15세미만","2022",5761421,159,X,5487014,X,X,X,222409,-,-,1766,X,4570,29607,X,6390,9506
"전국","계","15세미만","2023",5526647,160,X,5256864,X,X,X,218623,-,-,1760,X,4150,28918,10,6394,9768
"전국","계","15세미만","2024",5323384,202,X,5064085,X,X,X,209547,-,-,1776,X,3797,26990,14,6284,10686
"전국","계","15~19세","2015",2835413,63093,922,2606716,400,X,X,-,82453,24737,160,X,28186,21004,X,2476,5266
"전국","계","15~19세","2016",2715405,67550,943,2493015,413,X,X,-,75905,24206,151,X,25147,19595,6,2320,6154
"전국","계","15~19세","2017",2573204,65350,859,2360911,353,X,X,-,70008,24241,148,X,23752,18417,X,2342,6821
